surname,first_name,email
Chu,Eric,NA
Dawson,Richard,NA
Khirfan,Luna,NA
Mcphearson,Timon,NA
Prakash,Anjal,NA
Zheng,Yan,NA
Delgado Ramos,Gian Carlo,NA
Cissé,GuÉladio,NA
Mcleman,Robert,NA
Adams,Helen,NA
Bowen,Kathryn,NA
Ebi,Kristie,NA
Liu,Qiyong,NA
Mcgregor,Glenn,NA
Semenza,Jan C.,NA
Tirado,Maria,NA
Menne,Bettina,NA
Toussaint,Jean-françois,NA
Liwenga,Emma,NA
Pandey,Rajiv,NA
Djalante,Riyanti,NA
Gemenne,François,NA
Pinho,Patricia Fernanda,NA
Stringer,Lindsay,NA
Wrathall,David,NA
Oki,Taikan,NA
Rivera-Ferre,Marta G.,NA
Adelekan,Ibidun,NA
Totin,Edmond,NA
Efitre,Jackson,NA
Gemeda,Adugna,NA
Kalaba,Kanungwe,NA
Lennard,Christopher,NA
Masao,Catherine,NA
Mgaya,Yunus,NA
Ngaruiya,Grace,NA
Olago,Daniel Ochieng,NA
Simpson,Nicholas,NA
Cheong,Tae Sung,NA
Luo,Yong,NA
Shaw,Rajib,NA
Abdul Halim,Sharina,NA
Chaturvedi,Sanjay,NA
Hashizume,Masahiro,NA
Insarov,Gregory E.,NA
Ishikawa,Yoichi,NA
Jafari,Mostafa,NA
Kitoh,Akio,NA
Pulhin,Juan,NA
Singh,Chandni,NA
Vasant,Kripa,NA
Zhang,Zhibin,NA
Myeong,Soojeong,NA
Lawrence,Judy,NA
Chiew,Francis,NA
Costello,Mark,NA
Hennessy,Kevin,NA
Lansbury,Nina,NA
Nidumolu,Uday Bhaskar,NA
Pecl,Gretta,NA
Rickards,Lauren,NA
Tapper,Nigel,NA
Wreford,Anita,NA
Wratt,David,NA
Castellanos Lopez,Edwin Josue,NA
Lemos,Maria Fernanda,NA
Astigarraga,Laura,NA
C. Postigo,Julio,NA
Chacón,Noemí,NA
Cuvi,Nicolás,NA
Huggel,Christian,NA
Miranda Sara,Liliana Raquel,NA
Moncassim Vale,Mariana,NA
Ometto,Jean Pierre,NA
Peri,Pablo,NA
Ramajo Gallardo,Laura,NA
Rusticucci,Matilde,NA
Suarez Rodriguez,Avelino Gumersindo,NA
Bednar-Friedl,Birgit,NA
Biesbroek,Robbert,NA
Schmidt,Daniela N.,NA
Alexander,Peter,NA
Børsheim,Knut Yngve,NA
Georgopoulou,Elena,NA
Haasnoot,Marjolijn,NA
Le Cozannet,Gonéri,NA
Lionello,Piero,NA
Lipka,Oksana,NA
Möllmann,Christian,NA
Muccione,Veruska,NA
Piepenburg,Dieter,NA
Kaser,Georg,NA
Moreno,Jose Manuel,NA
Hicke,Jeffrey,NA
Lucatello,Simone,NA
Mortsch,Linda,NA
Dawson,Jackie,NA
Domínguez Aguilar,Mauricio,NA
Enquist,Carolyn,NA
Gilmore,Elisabeth Anne,NA
Gutzler,David,NA
Harper,Sherilee,NA
Holsman,Kirstin,NA
Jewett,Elizabeth (libby),NA
Kohler,Timothy (tim),NA
Miller,Kathleen,NA
Hurlbert,Margot,NA
Mearns,Linda,NA
Mycoo,Michelle,NA
Wairiu,Morgan,NA
Campbell,Donovan,NA
Duvat,Virginie,NA
Golbuu,Yimnang,NA
Maharaj,Shobha,NA
Nalau,Johanna,NA
Nunn,Patrick,NA
Pinnegar,John,NA
Warrick,Olivia,NA
Agard,John,NA
Riyaz,Mahmood,NA
O'neill,Brian,NA
Van Aalst,Maarten,NA
Zaiton Ibrahim,Zelina,NA
Berrang Ford,Lea,NA
Buhaug,Halvard,NA
Diaz,Delavane,NA
Frieler,Katja,NA
Magnan,Alexandre,NA
Mirzabaev,Alisher,NA
Warren,Rachel,NA
Jiang,Tong,NA
New,Mark,NA
Reckien,Diana,NA
Viner,David,NA
Adler,Carolina,NA
Cheong,So Min,NA
Conde,Cecilia,NA
Constable,Andrew,NA
Coughlan De Perez,Erin,NA
Lammel,Annamaria,NA
Orlove,Ben,NA
Klein,Richard,NA
Preston,Benjamin L.,NA
Schipper,Lisa,NA
Carr,Edward R.,NA
Eriksen,Siri H.,NA
Fernandez-Carril,Luis,NA
Glavovic,Bruce,NA
Hilmi,Nathalie Jeanne Marie,NA
Ley,Debora,NA
Mukerji,Rupa,NA
Muylaert De Araujo,Maria Silvia,NA
Rose,Steven K.,NA
Singh,Pramod Kumar,NA
Liverman,Diana,NA
Mimura,Nobuo,NA
Samset,Bjørn H.,NA
Cobb,Kim,NA
Edwards,Paul,NA
Emori,Seita,NA
Faria,Sergio Henrique,NA
Hawkins,Edward,NA
Hope,Pandora,NA
Huybrechts,Philippe,NA
Mustafa,Sawsan,NA
Plattner,Gian-kasper,NA
Treguier,Anne Marie,NA
Chuersuwan,Nares,NA
Hegerl,Gabriele C.,NA
Yasunari,Tetsuzo,NA
Gulev,Sergey,NA
Ahn,Jinho,NA
Dentener,Frank,NA
Domingues,Catia M.,NA
Gerland,Sebastian,NA
Gong,Daoyi,NA
Kaufman,Darrell,NA
Nnamchi,Hyacinth,NA
Quaas,Johannes,NA
Rivera,Juan Antonio,NA
Sathyendranath,Shubha,NA
Smith,Sharon,NA
Trewin,Blair,NA
Von Shuckmann,Karina,NA
Vose,Russell,NA
Azar,Zarrin,NA
Osborn,Timothy,NA
Eyring,Veronika,NA
Gillett,Nathan P.,NA
Achutarao,Krishna,NA
Barimalala,Rondrotiana,NA
Barreiro Parrillo,Marcelo,NA
Bellouin,Nicolas,NA
Cassou,Christophe,NA
Durack,Paul,NA
Kosaka,Yu,NA
Mcgregor,Shayne,NA
Min,Seung-ki,NA
Morgenstern,Olaf,NA
Sun,Ying,NA
Halenka,Tomas,NA
Mitchell,Daniel,NA
Marotzke,Jochem,NA
Bala,Govindasamy,NA
Corti,Susanna,NA
Dunne,John,NA
Engelbrecht,Francois,NA
Fischer,Erich,NA
Fyfe,John,NA
Maycock,Amanda,NA
Mutemi,Joseph,NA
Ndiaye,Ousman,NA
Panickal,Swapna,NA
Zhou,Tianjun,NA
Kanikicharla,Krishna Kumar,NA
Kattsov,Vladimir,NA
Kimoto,Masahide,NA
Canadell,Josep,NA
Scheel Monteiro,Pedro,NA
Costa,Marcos,NA
Cotrim Da Cunha,Leticia,NA
Cox,Peter M.,NA
Eliseev,Alexey V.,NA
Henson,Stephanie,NA
Ishii,Masao,NA
Jaccard,Samuel,NA
Koven,Charles,NA
Lohila,Annalea,NA
Patra,Prabir,NA
Syampungani,Stephen,NA
Zaehle,Sönke,NA
Zickfeld,Kirsten,NA
Brovkin,Victor,NA
Feely,Richard,NA
Naik,Vaishali,NA
Szopa,Sophie,NA
Adhikary,Bhupesh,NA
Artaxo Netto,Paulo Eduardo,NA
Berntsen,Terje,NA
Collins,William D.,NA
Fuzzi,Sandro,NA
Gallardo,Laura,NA
Kiendler-Scharr,Astrid,NA
Klimont,Zbigniew,NA
Liao,Hong,NA
Zanis,Prodromos,NA
Kanaya,Yugo,NA
Prather,Michael,NA
Forster,Piers,NA
Storelvmo,Trude,NA
Armour,Kyle,NA
Collins,William,NA
Dufresne,Jean-louis,NA
Frame,David,NA
Lunt,Daniel,NA
Mauritsen,Thorsten,NA
Palmer,Matthew,NA
Watanabe,Masahiro,NA
Wild,Martin,NA
Zhang,Hua,NA
Colman,Robert,NA
Matthews,H. Damon,NA
Ramaswamy,Venkatachalam,NA
Douville,Hervé,NA
Raghavan,Krishnan,NA
Renwick,James A.,NA
Allan,Richard,NA
Arias Gomez,Paola Andrea,NA
Barlow,Mathew,NA
Cerezo Mota,Ruth,NA
Cherchi,Annalisa,NA
Gan,Thian Yew,NA
Gergis,Joelle,NA
Jiang,Dabang,NA
Khan,Asif,NA
Pokam Mba,Wilfried,NA
Rosenfeld,Daniel,NA
Tierney,Jessica,NA
Zolina,Olga,NA
Braconnot,Pascale,NA
Diedhiou,Arona,NA
Fox-Kemper,Baylor,NA
Hewitt (Nee Banks),Helene,NA
Xiao,Cunde,NA
Aðalgeirsdóttir,Guðfinna,NA
Drijfhout,Sybren,NA
Edwards,Tamsin,NA
Golledge,Nicholas,NA
Hemer,Mark,NA
Kopp,Robert,NA
Mix,Alan,NA
Nowicki,Sophie,NA
Nurhati,Intan,NA
Ruiz,Lucas,NA
Sallée,Jean-baptiste,NA
Yu,Yongqiang,NA
Alakkat,Unnikrishnan,NA
Horton,Benjamin,NA
Marsland,Simon,NA
Doblas-Reyes,Francisco,NA
Almazroui,Mansour,NA
Dosio,Alessandro,NA
Gutowski,William,NA
Haarsma,Rein,NA
Hamdi,Rafiq,NA
Hewitson,Bruce,NA
Kwon,Won-tae,NA
Lamptey,Benjamin L.,NA
Maraun,Douglas,NA
Stephenson,Tannecia,NA
Takayabu,Izuru,NA
Terray,Laurent,NA
Turner,Andrew,NA
Zuo,Zhiyan,NA
Flato,Gregory,NA
Zhang,Xuebin,NA
Adnan,Muhammad,NA
Badi,Wafae,NA
Dereczynski,Claudine,NA
Di Luca,Alejandro,NA
Ghosh,Subimal,NA
Iskandar,Iskhaq,NA
Kossin,James,NA
Lewis,Sophie,NA
Pinto,Izdine,NA
Satoh,Masaki,NA
Vicente-Serrano,Sergio M.,NA
Wehner,Michael,NA
Zhou,Botao,NA
Chan,Johnny,NA
Sorteberg,Asgeir,NA
Ranasinghe,Roshanka (rwmrjb),NA
Vautard,Robert,NA
Arnell,Nigel,NA
Coppola,Erika,NA
Cruz,Faye Abigail,NA
Dessai,Suraje,NA
Islam,Akm Saiful,NA
Rahimi,Mohammad,NA
Ruiz Carrascal,Daniel,NA
Sillmann,Jana,NA
Sylla,Mouhamadou Bamba,NA
Wang,Wen,NA
Zaaboul,Rashyd,NA
Karoly,David J.,NA
Türkeş,Murat,NA
Gutiérrez,José Manuel,NA
Jones,Richard,NA
Narisma,Gemma Teresa,NA
Amjad,Muhammad,NA
Gorodetskaya,Irina,NA
Grose,Michael,NA
Klutse,Nana Ama Browne,NA
Krakovska,Svitlana,NA
Li,Jian,NA
Martínez-Castro,Daniel,NA
Mernild,Sebastian H.,NA
Muniz Alves,Lincoln,NA
Ngo-Duc,Thanh,NA
Van Den Hurk,Bart,NA
Yoon,Jin-ho,NA
Camilloni,Inés,NA
Christensen,Jens Hesselbjerg,NA
